City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Dubai,AE,25.2582,55.3047,78.73,73,100,3.44
95,Klaksvik,FO,62.2266,-6.589,49.12,90,100,19.17
96,Muroto,JP,33.2833,134.15,64.62,66,0,16.31
97,Sao Filipe,CV,14.8961,-24.4956,80.19,72,100,6.26
98,Los Llanos De Aridane,ES,28.6585,-17.9182,72.12,47,0,5.99
99,Male,MV,4.1748,73.5089,81.32,74,23,9.73
100,Bucerias,MX,20.75,-105.3333,75.33,84,0,3.11
101,Merauke,ID,-8.4667,140.3333,88.5,50,20,6.06
102,Leningradskiy,RU,69.3833,178.4167,11.1,92,100,17.74
103,Damietta,EG,31.4165,31.8133,71.69,67,77,8.63
104,Qaanaaq,GL,77.484,-69.3632,-3.24,71,10,8.75
105,Katsuura,JP,35.1333,140.3,65.98,63,0,14.12
106,Brandon,US,27.9378,-82.2859,79.12,81,40,10.36
107,Pareora,NZ,-44.4871,171.2132,66.18,85,100,7.25
108,Tabas,IR,33.5959,56.9244,70.36,26,44,3.78
109,Isangel,VU,-19.55,169.2667,82.29,71,3,7.14
110,Golden,US,39.7555,-105.2211,51.66,46,0,4.61
111,Sterling,US,39.0062,-77.4286,54.9,82,0,5.01
112,Maniitsoq,GL,65.4167,-52.9,35.38,90,100,27.96
113,Tilichiki,RU,60.4667,166.1,13.26,77,7,6.73
114,Tvoroyri,FO,61.5556,-6.8111,48.07,93,100,28.77
115,Ust-Kuyga,RU,70.0167,135.6,-5.35,100,94,2.24
116,Mahebourg,MU,-20.4081,57.7,71.26,79,95,10.13
117,Shimoda,JP,34.6667,138.95,66.11,58,0,6.85
118,Pianco,BR,-7.1981,-37.9292,82.54,43,41,14.18
119,Port Hardy,CA,50.6996,-127.4199,48.78,88,100,10.56
120,Uyuni,BO,-20.4597,-66.825,44.02,14,0,8.66
121,Lavrentiya,RU,65.5833,-171.0,22.24,71,74,9.73
122,Soyo,AO,-6.1349,12.3689,77.9,84,85,5.88
123,Viedma,AR,-40.8135,-62.9967,56.57,38,100,7.85
124,Lagoa,PT,39.05,-27.9833,62.33,63,6,14.41
125,Torbay,CA,47.6666,-52.7314,44.58,62,5,1.99
126,San Isidro,PE,-12.1167,-77.05,61.02,83,100,11.5
127,Sungaipenuh,ID,-2.0833,101.3833,68.97,82,88,1.81
128,Korem,ET,12.5058,39.5228,50.18,61,9,2.71
129,Bilma,NE,18.6853,12.9164,71.1,23,0,11.74
130,Sal Rei,CV,16.1833,-22.9167,78.57,78,100,14.09
131,Smithers,CA,54.7804,-127.1743,38.77,88,100,5.37
132,Wanaka,NZ,-44.7,169.15,66.11,71,100,3.0
133,Karakol,KG,42.4907,78.3936,36.41,45,13,3.78
134,Olinda,BR,-8.0089,-34.8553,80.33,69,20,9.22
135,Coquimbo,CL,-29.9533,-71.3436,58.84,75,0,4.5
136,Pontian Kecil,MY,1.4801,103.3899,83.01,82,69,4.12
137,Mecca,SA,21.4267,39.8261,78.85,64,5,1.59
138,Bambous Virieux,MU,-20.3428,57.7575,71.85,88,75,3.44
139,Vardo,NO,70.3705,31.1107,35.58,87,100,23.02
140,Mardin,TR,37.3131,40.7436,51.82,41,73,9.71
141,Batemans Bay,AU,-35.7167,150.1833,67.1,35,0,6.11
142,Port Elizabeth,ZA,-33.918,25.5701,64.09,85,20,18.41
143,Oum Hadjer,TD,13.2954,19.6966,79.5,19,78,11.65
144,Woerden,NL,52.0833,4.8833,57.02,81,100,1.99
145,Alofi,NU,-19.0595,-169.9187,77.27,78,100,16.91
146,Saskylakh,RU,71.9167,114.0833,-0.89,92,97,8.61
147,Port Hueneme,US,34.1478,-119.1951,70.52,69,0,5.75
148,Nanortalik,GL,60.1432,-45.2371,34.81,94,100,10.89
149,Abu Kamal,SY,34.4506,40.9171,68.43,37,100,6.51
150,Blairgowrie,GB,56.5916,-3.3405,55.62,92,94,1.01
151,Longyearbyen,SJ,78.2186,15.6401,22.84,68,75,19.57
152,Ballina,AU,-28.8667,153.5667,80.78,40,0,4.16
153,Rantepao,ID,-2.9701,119.8978,70.95,95,100,0.36
154,Ilulissat,GL,69.2167,-51.1,33.82,100,100,2.3
155,Eastbourne,GB,50.7687,0.2845,60.12,92,100,1.01
156,Altus,US,34.6381,-99.334,55.47,89,100,4.61
157,Hilo,US,19.7297,-155.09,83.25,81,13,4.0
158,Talnakh,RU,69.4865,88.3972,20.21,92,100,17.11
159,Hobart,AU,-42.8794,147.3294,58.05,67,75,12.66
160,Brae,GB,60.3964,-1.353,52.93,88,48,21.77
161,Kirkland Lake,CA,48.1446,-80.0377,39.07,85,11,9.73
162,Dalbandin,PK,28.8947,64.4101,65.21,21,38,4.34
163,Riyadh,SA,24.6877,46.7219,74.98,17,4,4.74
164,Fevik,NO,58.3794,8.6766,52.09,74,97,18.03
165,Ostersund,SE,63.1792,14.6357,48.61,93,100,14.97
166,Lata,PT,40.1629,-8.3327,69.82,78,96,6.71
167,Gushikawa,JP,26.3544,127.8686,78.03,74,21,18.57
168,Deputatskiy,RU,69.3,139.9,1.04,91,100,4.25
169,Gotsu,JP,35.0,132.2167,61.03,57,28,13.67
170,Le Port,RE,-20.9373,55.2919,71.56,64,1,5.61
171,Aksarka,RU,66.5606,67.7975,19.47,84,18,13.06
172,Ribeira Grande,PT,38.5167,-28.7,58.77,66,80,5.99
173,Fortuna,US,40.5982,-124.1573,59.92,63,0,5.75
174,Sioux Lookout,CA,50.1001,-91.917,49.66,63,92,11.05
175,Brazzaville,CG,-4.2658,15.2832,71.35,94,99,2.13
176,Portland,US,45.5234,-122.6762,54.63,95,100,5.75
177,Tazovskiy,RU,67.4667,78.7,26.85,96,100,18.32
178,Bethel,US,41.3712,-73.414,48.65,68,100,3.96
179,The Valley,AI,18.217,-63.0578,82.81,78,100,17.98
180,Vestmannaeyjar,IS,63.4427,-20.2734,42.35,80,90,17.22
181,Bonthe,SL,7.5264,-12.505,77.77,86,96,3.0
182,Ossora,RU,59.2353,163.0719,27.82,59,8,5.21
183,Orumiyeh,IR,37.5527,45.0761,47.48,68,12,3.22
184,Altamira,BR,-3.2033,-52.2064,78.31,60,99,1.32
185,Barrow,US,71.2906,-156.7887,17.62,67,100,5.75
186,Makakilo City,US,21.3469,-158.0858,81.45,71,6,13.96
187,Jumla,NP,29.2747,82.1838,43.07,45,0,4.85
188,Saint-Pierre,RE,-21.3393,55.4781,70.92,64,20,8.05
189,Kyshtovka,RU,56.555,76.6271,26.89,94,98,10.56
190,Coihaique,CL,-45.5752,-72.0662,34.11,93,15,7.83
191,Nome,US,64.5011,-165.4064,24.12,79,37,5.12
192,Gazli,UZ,40.1333,63.45,54.3,52,91,4.09
193,Saint-Philippe,RE,-21.3585,55.7679,69.39,71,54,5.93
194,Laguna,US,38.421,-121.4238,70.43,36,0,5.75
195,Clarksburg,US,39.2807,-80.3445,54.05,69,0,0.0
196,Lompoc,US,34.6391,-120.4579,62.78,76,0,10.36
197,Denia,ES,38.8408,0.1057,69.48,88,100,3.0
198,Bow Island,CA,49.8668,-111.3684,49.48,43,100,17.92
199,Kodiak,US,57.79,-152.4072,35.6,58,100,15.08
200,Angoram,PG,-4.0625,144.0661,90.97,53,98,2.75
201,Korla,CN,41.7597,86.1469,47.14,43,0,10.4
202,Tautira,PF,-17.7333,-149.15,78.04,75,6,6.4
203,Saint George,US,37.1041,-113.5841,64.94,18,0,3.0
204,Ust-Omchug,RU,61.15,149.6333,15.37,73,100,4.59
205,Esperance,AU,-33.8667,121.9,62.06,61,100,13.78
206,Ayan,RU,56.45,138.1667,38.98,49,25,12.75
207,Bumba,CD,2.1833,22.4667,70.59,98,99,2.53
208,Manica,FR,49.0,-1.1667,61.86,75,100,7.9
209,Poronaysk,RU,49.2167,143.1167,36.0,93,100,8.16
210,Abha,SA,18.2164,42.5053,57.22,88,29,2.24
211,Seymchan,RU,62.8833,152.4333,1.49,86,100,3.11
212,Grosseto,IT,42.8333,11.25,65.17,71,0,3.98
213,Issoudun,FR,47.0,1.8333,61.45,82,0,4.61
214,Tigil,RU,57.8,158.6667,25.77,81,23,7.09
215,Sayyan,YE,15.1718,44.3244,49.06,30,6,3.38
216,Namibe,AO,-15.1961,12.1522,69.94,86,35,6.49
217,Richards Bay,ZA,-28.783,32.0377,66.81,64,96,4.05
218,Upernavik,GL,72.7868,-56.1549,19.92,67,98,28.03
219,Morondava,MG,-20.2833,44.2833,75.79,75,49,6.46
220,Payson,US,40.0444,-111.7321,50.4,53,1,5.01
221,Tianpeng,CN,30.9866,103.9393,55.58,92,100,3.67
222,Rundu,NA,-17.9333,19.7667,71.19,61,17,3.15
223,Cabo San Lucas,MX,22.8909,-109.9124,81.05,67,1,7.47
224,Harer,ET,9.3094,42.1258,57.11,39,5,5.48
225,Khatanga,RU,71.9667,102.5,-0.49,91,100,3.4
226,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.16,88,100,3.27
227,Quezaltepeque,SV,13.835,-89.2744,70.05,90,5,2.66
228,Cockburn Town,TC,21.4612,-71.1419,82.78,71,0,14.0
229,Walvis Bay,NA,-22.9575,14.5053,57.09,97,23,7.65
230,Bandarbeyla,SO,9.4942,50.8122,78.3,80,20,10.63
231,Iqaluit,CA,63.7506,-68.5145,22.73,93,100,31.07
232,Mar Del Plata,AR,-38.0023,-57.5575,58.95,59,100,8.01
233,Leh,IN,34.1667,77.5833,28.78,43,4,1.68
234,Lagos,NG,6.5833,3.75,76.08,92,96,2.55
235,Oriximina,BR,-1.7656,-55.8661,79.97,54,100,3.49
236,Hay River,CA,60.8156,-115.7999,21.06,89,83,1.68
237,Cururupu,BR,-1.8283,-44.8683,75.29,89,80,4.45
238,Tuatapere,NZ,-46.1333,167.6833,69.62,56,100,1.63
239,Adrar,MR,20.5022,-10.0711,76.59,13,0,10.78
240,Fort-Shevchenko,KZ,44.5086,50.263,52.38,76,100,22.26
241,Kodinar,IN,20.7903,70.7031,75.42,53,0,5.5
242,Galveston,US,29.3669,-94.9669,71.69,93,100,4.0
243,Baijiantan,CN,45.6333,85.1833,38.34,55,98,7.65
244,Broome,US,42.2506,-75.833,49.01,66,0,3.44
245,Cidreira,BR,-30.1811,-50.2056,68.11,81,0,13.0
