City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
557,Pak Phanang,TH,77.09,8.3511,100.202,Green Park Inn Hotel
559,Ixtapa,MX,81.63,20.7,-105.2,hotel la terminal
562,Nyaunglebin,MM,76.23,17.95,96.7333,Thi ha
563,Jiwani,PK,78.37,25.05,61.7417,Hooth Market
567,Cayenne,GF,77.04,4.9333,-52.3333,Hôtel Le Dronmi
574,Bowen,AU,89.26,-20.0167,148.2333,Castle Motor Lodge Motel
584,Nabire,ID,79.23,-3.3667,135.4833,Hotel Nusantara I
585,Maragogi,BR,77.79,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
586,Marica,BR,75.11,-22.9194,-42.8186,Marica Hills
587,Semporna,MY,83.37,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
589,Bac Lieu,VN,79.03,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
592,Diamantino,BR,78.82,-14.4086,-56.4461,Hotel Delta
597,Pontianak,ID,78.78,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
600,Mazatlan,MX,82.02,23.2167,-106.4167,Hotel La Siesta
614,Aquiraz,BR,80.69,-3.9014,-38.3911,Pousada Rua Camurupim
627,Santarem,BR,78.93,-2.4431,-54.7083,Hotel Imperador
628,Emerald,AU,86.34,-23.5333,148.1667,The Irish Village
629,Port Keats,AU,89.44,-14.25,129.55,Kardu Durrikardu Numida Hostel
632,Galle,LK,76.35,6.0367,80.217,Amangalla
637,Ahuimanu,US,83.91,21.4447,-157.8378,Paradise Bay Resort
644,Ipu,BR,79.36,-4.3222,-40.7108,Our hostel Corner
646,Carutapera,BR,77.7,-1.195,-46.02,Lidera
653,Bubaque,GW,82.76,11.2833,-15.8333,"Casa Dora, Bubaque"
654,Hervey Bay,AU,79.12,-25.2986,152.8535,Shelly Bay Resort
655,Mahibadhoo,MV,81.34,3.7833,72.9667,Omadhoo Inn
658,Timbiras,BR,76.23,-4.2553,-43.9406,Timbiras Palmeirais Hotel
660,San Juan,AR,81.9,-31.5375,-68.5364,Hotel Provincial
661,Itarema,BR,78.69,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
667,Kibala,TD,75.16,9.1104,18.3463,Prasant Hotels
670,Caravelas,BR,75.97,-17.7125,-39.2481,Pousada dos Navegantes
673,Puerto Escondido,MX,80.6,15.85,-97.0667,Aldea del Bazar Hotel and Spa
681,Berbera,SO,79.79,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
682,Pemangkat,ID,80.67,1.1667,108.9667,Hotel Duyung Permai 2
688,Breves,BR,77.81,-1.6822,-50.4803,Hotel e Restaurante Grill
